rate,location,rest_type,cuisines
3.5,Basavanagudi,"Sweet Shop, Quick Bites","Mithai, South Indian, Street Food, Fast Food"
3.8,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese"
3.7,Basavanagudi,Quick Bites,"South Indian, North Indian, Desserts"
3.0,Basavanagudi,Quick Bites,"South Indian, Burger"
3.7,Basavanagudi,Cafe,"Cafe, Beverages"
3.6,Basavanagudi,Kiosk,"Beverages, Desserts"
3.2,Banashankari,Casual Dining,"North Indian, Chinese"
3.7,Banashankari,Quick Bites,"Biryani, Fast Food"
3.4,Basavanagudi,Cafe,"Cafe, Fast Food"
3.6,Banashankari,Casual Dining,"Mangalorean, Seafood, North Indian"
3.6,Banashankari,Quick Bites,"Biryani, Chinese, North Indian"
3.0,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian"
3.7,Mysore Road,Quick Bites,South Indian
3.5,South Bangalore,Food Truck,"Pizza, Fast Food, BBQ"
3.6,Jayanagar,Quick Bites,"Seafood, Mangalorean"
4.1,Basavanagudi,Casual Dining,"Andhra, North Indian, Chinese"
3.5,Banashankari,Beverage Shop,"Beverages, Ice Cream, Fast Food"
3.7,Jayanagar,"Quick Bites, Dessert Parlor","Fast Food, Desserts, Beverages"
3.7,Jayanagar,Casual Dining,"Chinese, North Indian, Pizza, Italian"
3.8,Kumaraswamy Layout,"Beverage Shop, Quick Bites","Beverages, Fast Food"
2.7,Banashankari,Quick Bites,Fast Food
3.6,Kumaraswamy Layout,Casual Dining,North Indian
3.2,Kumaraswamy Layout,Quick Bites,"South Indian, Biryani"
3.8,Banashankari,Quick Bites,"Biryani, Fast Food"
3.7,Banashankari,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream"
0.0,Banashankari,Quick Bites,South Indian
3.6,Basavanagudi,Quick Bites,Fast Food
3.1,Banashankari,Takeaway,"Rolls, Lebanese"
3.0,Kumaraswamy Layout,Cafe,"Cafe, Fast Food, Chinese"
3.4,Jayanagar,Beverage Shop,Beverages
3.0,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese"
2.9,Banashankari,Quick Bites,North Indian
3.9,Basavanagudi,Quick Bites,South Indian
4.1,Jayanagar,"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza"
3.5,Basavanagudi,Quick Bites,"Biryani, Fast Food"
3.4,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices"
3.6,Basavanagudi,Quick Bites,South Indian
3.5,Basavanagudi,Quick Bites,South Indian
3.8,Banashankari,Quick Bites,South Indian
3.8,Banashankari,Quick Bites,"North Indian, Chinese"
3.7,Uttarahalli,Quick Bites,"Chinese, Street Food, Ice Cream"
3.8,Basavanagudi,Quick Bites,"Sandwich, Fast Food, Rolls"
3.7,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Fast Food"
3.3,Basavanagudi,Quick Bites,Rolls
3.4,Basavanagudi,Quick Bites,"Fast Food, Street Food"
3.5,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese"
3.3,Basavanagudi,Quick Bites,South Indian
3.4,Basavanagudi,Quick Bites,"Fast Food, Rolls"
3.8,Jayanagar,Quick Bites,"Ice Cream, Beverages, Fast Food"
3.7,Kumaraswamy Layout,Casual Dining,North Indian
2.9,Jayanagar,Sweet Shop,Mithai
3.4,Banashankari,Quick Bites,"South Indian, North Indian"
3.6,Banashankari,Quick Bites,"Desserts, Fast Food, Continental"
4.0,Jayanagar,Quick Bites,"South Indian, Chinese"
3.9,Jayanagar,Casual Dining,Chinese
4.1,Jayanagar,"Casual Dining, Bar","Italian, Fast Food, Salad, BBQ"
3.7,Basavanagudi,Quick Bites,Street Food
3.9,Jayanagar,Casual Dining,"Italian, Pizza, North Indian, Salad"
3.9,Jayanagar,Casual Dining,"Fast Food, Continental, Beverages, Salad, Healthy Food"
4.0,Jayanagar,Quick Bites,"North Indian, South Indian, Fast Food, Juices"
3.6,Vijay Nagar,Casual Dining,"North Indian, Chinese, South Indian"
3.7,Basavanagudi,Cafe,"Cafe, Italian, Beverages"
4.0,Jayanagar,Casual Dining,"North Indian, Continental"
3.2,Kumaraswamy Layout,Quick Bites,North Indian
3.5,Banashankari,Quick Bites,"Tibetan, Momos"
4.0,Basavanagudi,Bakery,"Bakery, French, Desserts"
3.9,Jayanagar,Sweet Shop,"Mithai, Street Food"
3.5,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani"
3.5,Banashankari,Casual Dining,"North Indian, Chinese, Beverages"
3.8,Basavanagudi,Quick Bites,Juices
3.7,Uttarahalli,Casual Dining,"North Indian, Chinese, Biryani, South Indian"
3.8,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese"
4.1,Basavanagudi,Quick Bites,Street Food
4.1,Jayanagar,"Dessert Parlor, Beverage Shop",Beverages
3.7,Basavanagudi,Quick Bites,"Juices, South Indian, Chinese, Fast Food"
3.0,Banashankari,Quick Bites,"North Indian, South Indian, Chinese, Biryani, Seafood"
3.2,Jayanagar,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
3.8,Banashankari,Quick Bites,South Indian
3.7,Banashankari,Quick Bites,"North Indian, Street Food"
3.1,Banashankari,Quick Bites,"Fast Food, Burger"
3.0,Kumaraswamy Layout,Quick Bites,"Fast Food, Momos"
3.7,Kumaraswamy Layout,Casual Dining,"Biryani, North Indian, Chinese, Seafood"
3.7,Kumaraswamy Layout,Quick Bites,South Indian
0.0,Jayanagar,"Takeaway, Delivery",North Indian
3.3,Basavanagudi,Quick Bites,"Healthy Food, South Indian"
3.3,Kumaraswamy Layout,Dessert Parlor,"Desserts, Ice Cream"
3.8,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts"
3.4,Banashankari,"Quick Bites, Bakery","South Indian, Bakery, Chinese"
3.5,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, South Indian"
0.0,Banashankari,Quick Bites,"North Indian, Mughlai, Chinese"
3.5,Kumaraswamy Layout,Quick Bites,North Indian
3.2,Kumaraswamy Layout,Quick Bites,"Momos, Tibetan, Chinese"
3.1,Banashankari,Delivery,North Indian
0.0,Uttarahalli,Quick Bites,Mughlai
3.6,JP Nagar,"Takeaway, Delivery","Healthy Food, North Indian, Thai"
0.0,Kumaraswamy Layout,"Takeaway, Delivery",Bakery
3.4,Jayanagar,Quick Bites,"Fast Food, Sandwich"
0.0,Jayanagar,Bakery,Bakery
3.9,Jayanagar,Casual Dining,"North Indian, South Indian"
3.7,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts"
2.8,City Market,"Takeaway, Delivery","South Indian, Chinese, Continental, Biryani"
3.3,Basavanagudi,"Casual Dining, Bar","South Indian, North Indian, Chinese, Biryani"
3.5,Banashankari,Quick Bites,"North Indian, South Indian, Chinese, Biryani"
3.4,Basavanagudi,Casual Dining,"North Indian, Fast Food"
